inchikey14,metric_ik14,n_libs,n_spectra,libs
DKNDVRPQKNWOLH,DKNDVRPQKNWOLH,1,3,enveda-180
DKNDXBAONQMEDD,DKNDXBAONQMEDD,1,8,pluskal_ms2
DKNGGBQOFRGXQB,DKNGGBQOFRGXQB,1,8,enveda-180
DKNJAGGYKPVDKT,DKNJAGGYKPVDKT,1,3,enveda-180
DKNJXLVKSDEOHH,DKNJXLVKSDEOHH,1,4,enveda-180
DKNKBEGMDURAME,DKNKBEGMDURAME,1,3,enveda-180
DKNLPASJIPZAKN,DKNLPASJIPZAKN,1,4,enveda-180
DKNMAGPCAYZWTC,DKNMAGPCAYZWTC,1,7,enveda-180
DKNNGWGARVYYRE,DKNNGWGARVYYRE,1,7,enveda-180
DKNNMOPEYZVIHO,DKNNMOPEYZVIHO,1,5,enveda-180
DKNNXTSTZSORSO,DKNNXTSTZSORSO,1,4,enveda-180
DKNUPRMJNUQNHR,DKNUPRMJNUQNHR,3,33,pluskal_ms2;gnps;drug_plus
DKNVAGJYKOLLJB,DKNVAGJYKOLLJB,1,2,spectraverse
DKNWSYNQZKUICI,DKNWSYNQZKUICI,8,160,massbank;gnps;mona;riken;pluskal_ms2;msdial;masaryk;drug_plus
DKNYAMNNWCJWAD,DKNYAMNNWCJWAD,1,8,enveda-180
DKNZQPXIIHLUHU,DKNZQPXIIHLUHU,2,34,pluskal_ms2;gnps
DKOAYDPESFJHEN,DKOAYDPESFJHEN,2,14,pluskal_ms2;gnps
DKOCGVJACPGBDI,DKOCGVJACPGBDI,1,15,enveda-180
DKODBABYWNEBAS,DKODBABYWNEBAS,1,7,enveda-180
DKOFNRTXIIRRHH,DKOFNRTXIIRRHH,1,12,enveda-180
DKOGDTCWBDPBIW,DKOGDTCWBDPBIW,1,4,gnps
DKOIKYXKQADBBX,DKOIKYXKQADBBX,1,4,enveda-180
DKOLGDLEXMLBCX,DKOLGDLEXMLBCX,1,2,enveda-180
DKONDWKMQBULON,DKONDWKMQBULON,1,1,gnps
DKONWJJBKWMKIZ,DKONWJJBKWMKIZ,1,1,gnps
DKOOKWHIJDRESE,DKOOKWHIJDRESE,2,16,pluskal_ms2;gnps
DKOPDYDYSAMATP,DKOPDYDYSAMATP,1,28,pluskal_ms2
DKORMNNYNRPTBJ,DKORMNNYNRPTBJ,2,30,pluskal_ms2;gnps
DKOVBWSOGVYHSV,DKOVBWSOGVYHSV,1,4,enveda-180
DKOVLGUPDILSJU,DKOVLGUPDILSJU,1,3,enveda-180
DKOWSYCFCPIBMY,DKOWSYCFCPIBMY,1,4,enveda-180
DKOXVDVXOYHFHV,DKOXVDVXOYHFHV,3,6,riken;mona;msdial
DKOZKXWPOKUHSM,DKOZKXWPOKUHSM,1,15,pluskal_ms2
DKPBLKCKOWWKGY,DKPBLKCKOWWKGY,1,3,enveda-180
DKPCJHOCLMZEBJ,DKPCJHOCLMZEBJ,1,4,enveda-180
DKPCKOKYSVPFEB,DKPCKOKYSVPFEB,2,15,pluskal_ms2;gnps
DKPFAICIJBLEHD,DKPFAICIJBLEHD,1,2,msdial
DKPFZGUDAPQIHT,DKPFZGUDAPQIHT,2,11,msdial;gnps
DKPIWWWPVMKFOU,DKPIWWWPVMKFOU,1,8,enveda-180
DKPJQVRHWSLNPP,DKPJQVRHWSLNPP,1,4,enveda-180
DKPKPEGAITZBFL,DKPKPEGAITZBFL,1,5,enveda-180
DKPMWHFRUGMUKF,DKPMWHFRUGMUKF,5,231,gnps;riken;msdial;massbank;mona
DKPQBSATEOCRIL,DKPQBSATEOCRIL,1,4,enveda-180
DKPQHFZUICCZHF,DKPQHFZUICCZHF,2,14,pluskal_ms2;gnps
DKPUGDRFZGJMOK,DKPUGDRFZGJMOK,1,3,enveda-180
DKPUUJUMZVENEZ,DKPUUJUMZVENEZ,1,7,enveda-180
DKPVHJBKJXPKRI,DKPVHJBKJXPKRI,1,7,enveda-180
DKPZMBDRRQAFQL,DKPZMBDRRQAFQL,1,8,enveda-180
DKQATDQETUTSSG,DKQATDQETUTSSG,1,6,pluskal_ms2
DKQCNAMGQQDLPM,DKQCNAMGQQDLPM,1,10,enveda-180
DKQHHQKSUPFNHU,DKQHHQKSUPFNHU,1,2,spectraverse
DKQHZSLOVNCHNR,DKQHZSLOVNCHNR,1,1,gnps
DKQKWJRNHCJGAA,DKQKWJRNHCJGAA,1,4,enveda-180
DKQPQLMXUBOHCJ,DKQPQLMXUBOHCJ,1,5,pluskal_ms2
DKQUCLBKXIVWMF,DKQUCLBKXIVWMF,1,6,enveda-180
DKQVGAXXYPCQSY,DKQVGAXXYPCQSY,1,1,gnps
DKQVQFHBHPEXKU,DKQVQFHBHPEXKU,1,10,enveda-180
DKQVXTOKJCFQNC,DKQVXTOKJCFQNC,1,3,enveda-180
DKQZRXIHVGZXFQ,FGDFMIZUDDUDHC,1,4,gnps
DKRALVCMZCHIQC,DKRALVCMZCHIQC,1,14,pluskal_ms2
DKRBBFNVGJKSJY,KASCOJMXMYGVSP,1,49,riken
DKRBJAHDQGPFBO,DKRBJAHDQGPFBO,1,4,enveda-180
DKRBVCOONBUZGB,DKRBVCOONBUZGB,1,3,enveda-180
DKRDNMRNINQYAC,DKRDNMRNINQYAC,1,7,enveda-180
DKRDUKCPYYRFFT,DKRDUKCPYYRFFT,1,3,enveda-180
DKRHILRFORRVNP,DKRHILRFORRVNP,1,6,gnps
DKRMGNFIOMDYOR,DKRMGNFIOMDYOR,1,1,gnps
DKRNHELTGJPCKU,DKRNHELTGJPCKU,1,14,enveda-180
DKRNMWKDFMROBD,DKRNMWKDFMROBD,1,4,enveda-180
DKRNRZVLSAMLMK,DKRNRZVLSAMLMK,1,3,enveda-180
DKRPWJBOLSSZLH,DKRPWJBOLSSZLH,1,1,msdial
DKRQYCXIDUPUGS,DKRQYCXIDUPUGS,1,10,pluskal_ms2
DKRSEIPLAZTSFD,DKRSEIPLAZTSFD,2,7,pluskal_ms2;gnps
DKRUFCLIRSIOPX,DKRUFCLIRSIOPX,1,3,enveda-180
DKRVBPONOQHUQW,DKRVBPONOQHUQW,1,1,gnps
DKRVMARRTPJUOC,DKRVMARRTPJUOC,1,8,enveda-180
DKRXODJAISNRGA,DKRXODJAISNRGA,4,61,riken;mona;gnps;msdial
DKRYYIIVJRUKGL,DKRYYIIVJRUKGL,3,3,mona;msdial;riken
DKSAGJUSOARIKN,DKSAGJUSOARIKN,1,2,gnps
DKSBDIROYQTEKK,DKSBDIROYQTEKK,1,7,enveda-180
DKSBKZUUSKKPHU,DKSBKZUUSKKPHU,1,2,enveda-180
DKSKRBVXRDGYAS,DKSKRBVXRDGYAS,1,2,gnps
DKSKXXXCUJKSRB,DKSKXXXCUJKSRB,1,3,enveda-180
DKSMLVZAVUACNQ,DKSMLVZAVUACNQ,1,5,pluskal_ms2
DKSNZGIASOHSLG,DKSNZGIASOHSLG,2,22,pluskal_ms2;gnps
DKSPATNIHZSGOP,DKSPATNIHZSGOP,2,5,riken;msdial
DKSRGPMHMIFWIW,DKSRGPMHMIFWIW,1,10,enveda-180
DKSRYKBHUASBRQ,DKSRYKBHUASBRQ,1,4,enveda-180
DKSVBVKHUICELN,DKSVBVKHUICELN,2,26,gnps;pluskal_ms2
DKSVPURUPOWXBU,DKSVPURUPOWXBU,1,5,pluskal_ms2
DKSXBECBQVHFMI,DKSXBECBQVHFMI,1,4,enveda-180
DKSZMWUEBVCFJX,DKSZMWUEBVCFJX,1,4,enveda-180
DKTFCIYPDIJJKY,DKTFCIYPDIJJKY,1,8,enveda-180
DKTGAOACMHIWJV,DKTGAOACMHIWJV,1,8,gnps
DKTGCSHLHUYKQV,DKTGCSHLHUYKQV,1,4,enveda-180
DKTHRRKREGOZKK,DKTHRRKREGOZKK,1,7,enveda-180
DKTKWCXKOGPYKY,DKTKWCXKOGPYKY,1,1,gnps
DKTLVHYOULQGCU,DKTLVHYOULQGCU,1,6,enveda-180
DKTONVSPNRZAFZ,DKTONVSPNRZAFZ,1,8,enveda-180
DKTOXBJQNNHXRG,DKTOXBJQNNHXRG,1,1,gnps
DKTRSAXTIQHKMJ,DKTRSAXTIQHKMJ,1,15,enveda-180
DKTUZPBVSRQLCO,DKTUZPBVSRQLCO,1,4,enveda-180
DKTVIHASXILTBS,DKTVIHASXILTBS,1,3,msdial
DKTYRXKXZASIDN,DKTYRXKXZASIDN,1,18,enveda-180
DKTYYCSXCBOWAD,DKTYYCSXCBOWAD,1,7,enveda-180
DKUAHHNIXQWUMJ,DKUAHHNIXQWUMJ,1,9,enveda-180
DKUBNQJMOPRGCW,DKUBNQJMOPRGCW,1,8,enveda-180
DKUCXVPLIVXVFM,DKUCXVPLIVXVFM,1,1,gnps
DKUKLCINBIFORV,DKUKLCINBIFORV,1,7,enveda-180
DKULXECDDNCXTI,DKULXECDDNCXTI,1,3,gnps
DKUNVXVMRIYUSA,DKUNVXVMRIYUSA,1,6,enveda-180
DKUPGJRVWJNRQB,DKUPGJRVWJNRQB,1,9,enveda-180
DKUQKSMGVYVCES,DKUQKSMGVYVCES,1,7,enveda-180
DKUQSENVARUVAM,DKUQSENVARUVAM,1,4,enveda-180
DKUSIQMIPYZREQ,DKUSIQMIPYZREQ,1,8,enveda-180
DKUUXLIFUHFCQB,DKUUXLIFUHFCQB,1,3,enveda-180
DKUVLVPOYVJLBE,DKUVLVPOYVJLBE,1,10,enveda-180
DKUVSORUZHPBSW,DKUVSORUZHPBSW,1,8,enveda-180
DKUVTLPNVYKUMZ,DKUVTLPNVYKUMZ,1,12,enveda-180
DKUZEBWZCWPDQE,DKUZEBWZCWPDQE,1,7,enveda-180
DKVAHMYMTLUCDM,DKVAHMYMTLUCDM,1,10,enveda-180
DKVAVHKIYHXSIH,DKVAVHKIYHXSIH,1,12,enveda-180
DKVBYQAVNNRVNN,DKVBYQAVNNRVNN,3,7,pluskal_ms2;mona;riken
DKVDEGSMMSBVGR,DKVDEGSMMSBVGR,1,1,spectraverse
DKVGGIHIHZXEND,DKVGGIHIHZXEND,1,8,enveda-180
DKVHAVMZNBHGCU,DKVHAVMZNBHGCU,1,3,enveda-180
DKVHEHOJMCUCTD,DKVHEHOJMCUCTD,1,3,enveda-180
DKVJMZQFQJPTCH,DKVJMZQFQJPTCH,1,4,enveda-180
DKVJQJWFKYGCJI,DKVJQJWFKYGCJI,1,1,gnps
DKVKGMDVGMCJII,DKVKGMDVGMCJII,1,11,enveda-180
DKVRDDKECQJXMO,DKVRDDKECQJXMO,1,3,enveda-180
DKVSOVUOHBYGIH,DKVSOVUOHBYGIH,3,21,pluskal_ms2;enveda-180;gnps
DKVUCIICFWMENK,DKVUCIICFWMENK,1,3,enveda-180
DKVVPXLIRYCKCS,DKVVPXLIRYCKCS,1,1,gnps
DKVXTYAOHVFTBI,DKVXTYAOHVFTBI,1,12,enveda-180
DKVYCLSNIONYHS,DKVYCLSNIONYHS,1,8,enveda-180
DKVZZWNXNHBSNU,DKVZZWNXNHBSNU,1,6,enveda-180
DKWBBFJUNHZREB,DKWBBFJUNHZREB,1,10,enveda-180
DKWCGGUCVQBCFJ,DKWCGGUCVQBCFJ,1,7,enveda-180
DKWGWVHEOPSLSJ,DKWGWVHEOPSLSJ,1,2,gnps
DKWJQBVCWZVTDK,DKWJQBVCWZVTDK,1,4,enveda-180
DKWJUXQIGJYEQB,DKWJUXQIGJYEQB,1,5,spectraverse
DKWMRXKJMXTRKD,DKWMRXKJMXTRKD,2,21,pluskal_ms2;enveda-180
DKWNLMNLILRSSX,DKWNLMNLILRSSX,1,8,enveda-180
DKWNMCUOEDMMIN,DKWNMCUOEDMMIN,1,3,gnps
DKWNMHXVCUHTQY,DKWNMHXVCUHTQY,1,7,enveda-180
DKWRXCWRRPBLGT,DKWRXCWRRPBLGT,1,9,enveda-180
DKWSHYKRTMFSSY,DKWSHYKRTMFSSY,1,12,enveda-180
DKWSXVUHUXHNKL,DKWSXVUHUXHNKL,1,7,enveda-180
DKXBXIZJXFFPJM,DKXBXIZJXFFPJM,1,4,enveda-180
DKXCRDATSFNFQK,DKXCRDATSFNFQK,1,6,enveda-180
DKXCTBYONQDOHQ,DKXCTBYONQDOHQ,3,17,pluskal_ms2;enveda-180;gnps
DKXFCMVGKMVVDB,DKXFCMVGKMVVDB,1,6,enveda-180
DKXHKRJXRRVKEN,DKXHKRJXRRVKEN,1,3,gnps
DKXHSOUZPMHNIZ,DKXHSOUZPMHNIZ,1,11,pluskal_ms2
DKXIQBUNGNVJPZ,DKXIQBUNGNVJPZ,2,11,pluskal_ms2;enveda-180
DKXJUXYKSFHAGP,DKXJUXYKSFHAGP,1,4,enveda-180
DKXJZROFWYCOOE,DKXJZROFWYCOOE,1,3,enveda-180
DKXNBNKWCZZMJT,QOXWWFVQIKDLAU,3,52,pluskal_ms2;gnps;massbank
DKXNVKTYBKHCIA,DKXNVKTYBKHCIA,1,6,enveda-180
DKXOIOJNSVTGNP,DKXOIOJNSVTGNP,1,1,gnps
DKXOXJHYTXZEHV,DKXOXJHYTXZEHV,1,12,enveda-180
DKXQTYOUMGFXNH,DKXQTYOUMGFXNH,1,8,enveda-180
DKXSYIGVRVIYGC,DKXSYIGVRVIYGC,1,4,enveda-180
DKXUQAKNMOGPOO,DKXUQAKNMOGPOO,1,8,pluskal_ms2
DKXUTTPMZVENQO,DKXUTTPMZVENQO,1,4,enveda-180
DKXVLFVEUZSRMT,DKXVLFVEUZSRMT,1,4,enveda-180
DKXVYDHAPGUWJZ,DKXVYDHAPGUWJZ,1,7,enveda-180
DKXXFWXLIPAYIY,DKXXFWXLIPAYIY,1,3,enveda-180
DKXXMLNLIHCOCC,DKXXMLNLIHCOCC,1,10,enveda-180
DKXYNAIPIBWQAU,DKXYNAIPIBWQAU,1,5,pluskal_ms2
DKXZBPBWIGORKP,DKXZBPBWIGORKP,1,17,pluskal_ms2
DKYBDOXKUJXQJY,DKYBDOXKUJXQJY,1,7,enveda-180
DKYDBQQIQAPGMH,DKYDBQQIQAPGMH,2,4,pluskal_ms2;gnps
DKYDOYRPJSEEDC,DKYDOYRPJSEEDC,1,4,enveda-180
DKYDTFCHFHKRQH,DKYDTFCHFHKRQH,1,76,riken
DKYFESWWIPJYTA,DKYFESWWIPJYTA,4,73,riken;mona;gnps;msdial
DKYGRWNZQVTMCW,DKYGRWNZQVTMCW,1,3,enveda-180
DKYJEETYAZMOFV,DKYJEETYAZMOFV,1,10,enveda-180
DKYJXCCTHRTVAK,DKYJXCCTHRTVAK,1,7,enveda-180
DKYJXOUGYOWSJP,DKYJXOUGYOWSJP,1,8,enveda-180
DKYKFPSEXPNYET,DKYKFPSEXPNYET,1,6,enveda-180
DKYKHUVRDFSVRI,DKYKHUVRDFSVRI,1,16,enveda-180
DKYKKEMJCBZSJD,DKYKKEMJCBZSJD,1,7,enveda-180
DKYLAQZHJYXDPI,DKYLAQZHJYXDPI,1,9,enveda-180
DKYLGFVBRLOXGT,DKYLGFVBRLOXGT,1,7,enveda-180
DKYRSVYUXMNSLR,DKYRSVYUXMNSLR,1,6,enveda-180
DKYSBJHWTWOHFT,DKYSBJHWTWOHFT,1,7,enveda-180
DKYSMRVPHGGIEL,DKYSMRVPHGGIEL,1,4,enveda-180
DKYSXBMBOAHNPR,DKYSXBMBOAHNPR,1,8,enveda-180
DKYUJXBWVQHZJQ,DKYUJXBWVQHZJQ,1,2,mona
DKYVNDJKJLHRNU,DKYVNDJKJLHRNU,1,19,enveda-180
DKYVNQAVUGHXDY,DKYVNQAVUGHXDY,1,4,enveda-180
DKYWVDODHFEZIM,DKYWVDODHFEZIM,6,224,gnps;massbank;riken;mona;pluskal_ms2;drug_plus
DKZATNFCSMUCCN,DKZATNFCSMUCCN,1,12,enveda-180
DKZBBWMURDFHNE,DKZBBWMURDFHNE,5,189,massbank;riken;mona;gnps;msdial
DKZCDYVVFJAIKU,DKZCDYVVFJAIKU,1,4,enveda-180
DKZGMACLKKUHEZ,DKZGMACLKKUHEZ,1,2,enveda-180
DKZLLMFXFASBBD,DKZLLMFXFASBBD,1,8,enveda-180
DKZOQKYOEKTNQN,DKZOQKYOEKTNQN,2,4,mona;riken
DKZOWRQAMGTLOC,DKZOWRQAMGTLOC,1,4,enveda-180
DKZPFMKULLAVMW,DKZPFMKULLAVMW,1,6,enveda-180
DKZRKMQPSXOIFE,SZNQIKDUSYBHKU,1,3,enveda-180
DKZSKSINQZKJCH,DKZSKSINQZKJCH,1,7,enveda-180
DKZSLBSZNSCMEL,DKZSLBSZNSCMEL,1,4,enveda-180
DKZVDTPEFQZVKY,DKZVDTPEFQZVKY,1,13,enveda-180
DKZYXHCYPUVGAF,DKZYXHCYPUVGAF,2,11,pluskal_ms2;drug_plus
DLAAMHPLGLTQHA,DLAAMHPLGLTQHA,1,3,enveda-180
DLACZDFEIJFCGQ,DLACZDFEIJFCGQ,1,7,enveda-180
DLADDUXFVDNWKE,DLADDUXFVDNWKE,1,4,gnps
DLADLUWHUUXCEA,DLADLUWHUUXCEA,1,4,enveda-180
DLADOAYNOOCYAW,UAGQQRUUDWAYFS,1,6,gnps
DLAGRCZUELSZFG,DLAGRCZUELSZFG,2,6,pluskal_ms2;gnps
DLAIXXLVIJHKAG,DLAIXXLVIJHKAG,1,18,enveda-180
DLAJPRIOTGYOCR,DLAJPRIOTGYOCR,1,6,enveda-180
DLAJSDNFZDZUPV,DLAJSDNFZDZUPV,1,3,enveda-180
DLAJTAKUMNWEHT,DLAJTAKUMNWEHT,2,2,mona;riken
DLAKOZGLQWCPDC,DLAKOZGLQWCPDC,1,3,enveda-180
DLALXFLVZIKPDY,DLALXFLVZIKPDY,1,1,gnps
DLAMBSNGANLXBO,DLAMBSNGANLXBO,1,7,enveda-180
DLAMVQGYEVKIRE,DLAMVQGYEVKIRE,1,2,massbank
DLANWFZQSQELFY,DLANWFZQSQELFY,1,6,enveda-180
DLAPIMGBBDILHJ,DLAPIMGBBDILHJ,4,62,gnps;massbank;mona;riken
DLAQXOVBEVCISS,DLAQXOVBEVCISS,1,5,enveda-180
DLAQYOHJZUTWDJ,DLAQYOHJZUTWDJ,1,19,pluskal_ms2
DLASJVIPBMWFTO,DLASJVIPBMWFTO,1,15,pluskal_ms2
DLAVGKKYJAVZMJ,DLAVGKKYJAVZMJ,1,13,enveda-180
DLAXIGFCDDWKRX,DLAXIGFCDDWKRX,1,3,enveda-180
DLBAZZRUGUXNCH,DLBAZZRUGUXNCH,1,6,enveda-180
DLBDQRVWGOVCTA,DLBDQRVWGOVCTA,1,12,enveda-180
DLBDVEXSKPUTPN,DLBDVEXSKPUTPN,1,9,enveda-180
DLBFJZFNBSVXHF,DLBFJZFNBSVXHF,1,3,enveda-180
DLBFPHCRBZGTLX,DLBFPHCRBZGTLX,1,3,gnps
DLBGKYCJSOVDGZ,DLBGKYCJSOVDGZ,1,4,enveda-180
DLBHRHTZDKGXGO,DLBHRHTZDKGXGO,1,8,enveda-180
DLBICIPHHNZHTO,DLBICIPHHNZHTO,1,3,enveda-180
DLBINZDCSXRFAV,DLBINZDCSXRFAV,1,5,pluskal_ms2
DLBIQYROTDWCRJ,DLBIQYROTDWCRJ,1,14,enveda-180
DLBJYPFXXNHWSI,DLBJYPFXXNHWSI,1,4,enveda-180
DLBKWGRYFRFFEV,DLBKWGRYFRFFEV,1,4,enveda-180
DLBLMTCYISHWGP,DLBLMTCYISHWGP,2,67,riken;massbank
DLBNCCRROUWCNQ,DLBNCCRROUWCNQ,1,8,enveda-180
DLBOZAQYWSXYIZ,DLBOZAQYWSXYIZ,1,7,enveda-180
DLBQGKHAJDMDDR,DLBQGKHAJDMDDR,1,4,enveda-180
DLBQSTQYBSECQS,DLBQSTQYBSECQS,1,10,enveda-180
DLBSJMKJZSHMIY,DLBSJMKJZSHMIY,1,3,mona
DLBUDDWDSNKHCA,DLBUDDWDSNKHCA,1,1,gnps
DLBVXBDAQBQNJH,DLBVXBDAQBQNJH,1,5,enveda-180
DLBWLIAFHGSJAR,DLBWLIAFHGSJAR,1,2,enveda-180
DLBXQPSSBOAKER,DLBXQPSSBOAKER,1,10,enveda-180
DLBZNGOZRWPVBS,DLBZNGOZRWPVBS,1,4,enveda-180
DLCCVZVFJMUSBC,DLCCVZVFJMUSBC,1,3,gnps
DLCDOJBDCYQJSL,DLCDOJBDCYQJSL,1,3,enveda-180
DLCGNTGFCIUSAH,DLCGNTGFCIUSAH,1,5,enveda-180
DLCHGDFELKPASR,DLCHGDFELKPASR,2,18,pluskal_ms2;enveda-180
DLCIVZZQHVEFTP,DLCIVZZQHVEFTP,1,8,enveda-180
DLCJNIBLOSKIQW,DLCJNIBLOSKIQW,5,20,gnps;riken;msdial;mona;massbank
DLCKPFZPMLOPNS,DLCKPFZPMLOPNS,1,3,enveda-180
DLCLOMKWSZRWKU,DLCLOMKWSZRWKU,1,5,enveda-180
DLCLQURJDDZGDF,DLCLQURJDDZGDF,1,4,enveda-180
DLCLUCKWNGYHTD,DLCLUCKWNGYHTD,1,4,gnps
DLCMBOQUGIRTNI,DLCMBOQUGIRTNI,1,26,pluskal_ms2
DLCMWXHEMHFZGJ,DLCMWXHEMHFZGJ,1,7,enveda-180
DLCNCXZBTHBFTK,DLCNCXZBTHBFTK,1,8,enveda-180
DLCOCQDXPRPADX,DLCOCQDXPRPADX,1,5,pluskal_ms2
DLCRADMFFDMVSI,DLCRADMFFDMVSI,1,11,enveda-180
DLCRORAQLSAWPN,DLCRORAQLSAWPN,1,7,enveda-180
DLCSEZMDEKNNOD,DLCSEZMDEKNNOD,1,6,pluskal_ms2
DLCVFIMWFKVRTM,TXNLZKDXBKIUOQ,4,120,riken;gnps;msdial;mona
DLDAGTMGGCVKHY,DLDAGTMGGCVKHY,1,4,gnps
DLDBAORHMXGMFG,DLDBAORHMXGMFG,1,8,enveda-180
DLDDGXPCUSCAPY,DLDDGXPCUSCAPY,1,9,enveda-180
DLDJFQGPPSQZKI,DLDJFQGPPSQZKI,2,2,msdial;riken
DLDLDTSSEFSWFA,DLDLDTSSEFSWFA,1,6,enveda-180
DLDQFZYLIVXPFI,DLDQFZYLIVXPFI,1,10,pluskal_ms2
DLDVYLXJCOJYMQ,DLDVYLXJCOJYMQ,1,4,pluskal_ms2
DLDYCMQHAZDYGI,DLDYCMQHAZDYGI,1,4,enveda-180
DLDZDBDYUZLISX,DLDZDBDYUZLISX,2,2,mona;riken
DLEAKARVZITNKM,DLEAKARVZITNKM,1,3,enveda-180
DLEFQYVOZLMITK,DLEFQYVOZLMITK,1,8,enveda-180
DLELPYQBAXPRGN,DLELPYQBAXPRGN,1,6,enveda-180
DLEOETHAJPKOQD,DLEOETHAJPKOQD,1,6,enveda-180
DLEPCBYYGUHQCP,DLEPCBYYGUHQCP,2,19,pluskal_ms2;gnps
DLEQRTHSINCWQN,DLEQRTHSINCWQN,1,3,enveda-180
DLERIFZXKNKXFS,DLERIFZXKNKXFS,1,6,enveda-180
DLERJCMIRBKOCQ,DLERJCMIRBKOCQ,1,7,enveda-180
DLESETAYHQMGFN,DLESETAYHQMGFN,1,4,enveda-180
DLEUSIAXYCANSK,DLEUSIAXYCANSK,1,12,enveda-180
DLEVQXVBTQAPMT,DLEVQXVBTQAPMT,1,2,gnps
DLEWGNBVRNCJSF,DLEWGNBVRNCJSF,1,2,enveda-180
DLEYOCOXFFZJIR,DLEYOCOXFFZJIR,1,7,enveda-180
DLEYWNCYLQQFKB,DLEYWNCYLQQFKB,2,13,enveda-180;pluskal_ms2
DLFALRSERJKIDC,DLFALRSERJKIDC,1,3,enveda-180
DLFAMCLBPFPWFL,DLFAMCLBPFPWFL,1,6,enveda-180
DLFAWHRAMKYPFE,DLFAWHRAMKYPFE,1,7,enveda-180
DLFDSGVFFWQSGI,DLFDSGVFFWQSGI,1,8,enveda-180
DLFIWYTWQFOSEM,DLFIWYTWQFOSEM,1,7,gnps
DLFIYXVOJVGXGM,DLFIYXVOJVGXGM,1,8,enveda-180
DLFKEPIWWLGHPZ,DLFKEPIWWLGHPZ,1,4,enveda-180
DLFLEMXMXVLHFS,DLFLEMXMXVLHFS,1,6,enveda-180
DLFLYPLQOJXMAE,DLFLYPLQOJXMAE,1,4,enveda-180
DLFNLOFIRADDQF,DLFNLOFIRADDQF,1,7,enveda-180
DLFNNKXQODVJOO,DLFNNKXQODVJOO,1,4,enveda-180
DLFOKUWFUKJIET,DLFOKUWFUKJIET,1,7,enveda-180
DLFRWILZUBBIOA,DLFRWILZUBBIOA,2,13,pluskal_ms2;gnps
DLFSUJDCIWCXOK,DLFSUJDCIWCXOK,1,25,pluskal_ms2
DLFUWLRKJWSZMW,DLFUWLRKJWSZMW,1,1,gnps
DLFUZBTYLUOKRS,DLFUZBTYLUOKRS,1,8,enveda-180
DLFVBJFMPXGRIB,DLFVBJFMPXGRIB,1,6,massbank
DLGASQJXRZLQCI,DLGASQJXRZLQCI,1,4,enveda-180
DLGDTABQNZYKAA,DLGDTABQNZYKAA,1,8,enveda-180
DLGGAJIYMSIFKI,DLGGAJIYMSIFKI,1,3,enveda-180
DLGGQRFVOGBFAX,DLGGQRFVOGBFAX,1,3,gnps
DLGJBHKBJSCXRW,DLGJBHKBJSCXRW,1,8,pluskal_ms2
DLGKOXAMLZRQJL,DLGKOXAMLZRQJL,1,4,enveda-180
DLGMSNNJGMMQAJ,DLGMSNNJGMMQAJ,1,5,enveda-180
DLGMUKQCCABNRM,DLGMUKQCCABNRM,1,4,enveda-180
DLGNQYNTHSLLTF,DLGNQYNTHSLLTF,1,1,spectraverse
DLGOIUIPCGGRMP,DLGOIUIPCGGRMP,1,2,enveda-180
DLGRFZNYZVUWIF,DLGRFZNYZVUWIF,1,3,enveda-180
DLGRTBVJMPHTEO,DLGRTBVJMPHTEO,2,9,pluskal_ms2;enveda-180
DLGVOESCAIEESF,DLGVOESCAIEESF,1,5,enveda-180
DLGWYODAOXRUEB,DLGWYODAOXRUEB,1,3,enveda-180
DLGXBPTYXZCLAV,DLGXBPTYXZCLAV,1,9,enveda-180
DLGYSHDBGGHMCL,DLGYSHDBGGHMCL,1,1,gnps
DLHAWJYYJUDDFZ,DLHAWJYYJUDDFZ,1,3,enveda-180
DLHCEGCHWCUXNA,DLHCEGCHWCUXNA,1,5,pluskal_ms2
DLHFVTIHWXYUJY,DLHFVTIHWXYUJY,1,4,enveda-180
DLHFXNZSJTYIMW,DLHFXNZSJTYIMW,1,8,enveda-180
DLHGCKASQWRMMH,DLHGCKASQWRMMH,1,4,enveda-180
DLHGUNSICWGCKG,DLHGUNSICWGCKG,1,4,enveda-180
DLHKDQDPABTSOB,DLHKDQDPABTSOB,1,8,enveda-180
DLHKRORSDNQGQY,DLHKRORSDNQGQY,1,4,spectraverse
DLHLOJATURJKGG,DLHLOJATURJKGG,1,1,spectraverse
DLHOAWZKTXWYCW,DLHOAWZKTXWYCW,1,4,enveda-180
DLHPIZMABLSSLX,DLHPIZMABLSSLX,1,4,enveda-180
DLHPZJFQERUGFL,DLHPZJFQERUGFL,1,4,enveda-180
DLHUFYWEGRHJSC,DLHUFYWEGRHJSC,1,6,enveda-180
DLHXWKXPWGKVGS,DLHXWKXPWGKVGS,1,3,enveda-180
DLHZVTVUHATYAU,DLHZVTVUHATYAU,5,89,pluskal_ms2;riken;mona;msdial;gnps
DLICIMROMQUZLI,DLICIMROMQUZLI,1,8,enveda-180
DLIDKNDSGJYOBL,DLIDKNDSGJYOBL,1,5,enveda-180
DLIHIZLJBQXWQL,DLIHIZLJBQXWQL,1,2,enveda-180
DLIIWQNDKMRPNV,DLIIWQNDKMRPNV,1,5,pluskal_ms2
DLIJFNTXZWDILD,DLIJFNTXZWDILD,1,1,enveda-180
DLIKSSGEMUFQOK,DLIKSSGEMUFQOK,6,353,riken;gnps;massbank;mona;msdial;pluskal_ms2
