inchikey14,metric_ik14,n_other_libs,n_other_spectra,other_libs
KLLGGGQNRTVBSU,KLLGGGQNRTVBSU,4,43,gnps;massbank;mona;riken
JDUWHZOLEDOQSR,JDUWHZOLEDOQSR,6,40,gnps;massbank;mona;msdial;pluskal_ms2;riken
QFJCIRLUMZQUOT,DVSZTYJRXBBIFA,6,39,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
CBPNZQVSJQDFBE,ZWYQUVBAZLHTHP,6,37,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
UPALKCDWIDYZDP,UPALKCDWIDYZDP,5,37,gnps;mona;msdial;pluskal_ms2;riken
BBNQQADTFFCFGB,CHERCCPWQNZOOH,5,30,gnps;massbank;mona;pluskal_ms2;riken
GBOGMAARMMDZGR,GBOGMAARMMDZGR,6,28,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
PZPPOCZWRGNKIR,PZPPOCZWRGNKIR,2,28,massbank;pluskal_ms2
LUZSWWYKKLTDHU,VGLABFRUPBCSOM,5,24,gnps;massbank;mona;msdial;riken
RZGFUGXQKMEMOO,RZGFUGXQKMEMOO,6,23,gnps;massbank;mona;msdial;pluskal_ms2;riken
RZJQGNCSTQAWON,RZJQGNCSTQAWON,6,22,drug_plus;gnps;massbank;mona;msdial;riken
UYRHHBXYXSYGHA,UYRHHBXYXSYGHA,5,19,gnps;mona;msdial;pluskal_ms2;riken
LVVKXRQZSRUVPY,LVVKXRQZSRUVPY,6,18,gnps;massbank;mona;msdial;pluskal_ms2;riken
KKRXDNYRUZGPFM,KKRXDNYRUZGPFM,5,18,gnps;mona;msdial;pluskal_ms2;riken
FBWWXAGANVJTLU,FBWWXAGANVJTLU,5,18,gnps;mona;msdial;pluskal_ms2;riken
HHJUWIANJFBDHT,HHJUWIANJFBDHT,6,18,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
ZGLXUQQMLLIKAN,ZGLXUQQMLLIKAN,2,17,gnps;pluskal_ms2
WSQWAMGRHJQANC,WSQWAMGRHJQANC,5,15,gnps;massbank;msdial;pluskal_ms2;riken
NTBUBTCXACOEEC,NTBUBTCXACOEEC,2,14,gnps;pluskal_ms2
CJHYKSSBQRABTM,CJHYKSSBQRABTM,3,14,mona;pluskal_ms2;riken
SPJFYYJXNPEZDW,SPJFYYJXNPEZDW,4,13,massbank;mona;msdial;riken
GGJRAQULURVTAJ,GGJRAQULURVTAJ,4,13,massbank;mona;msdial;riken
WQMLFJWIKARBFW,WQMLFJWIKARBFW,3,12,mona;pluskal_ms2;riken
CGTADGCBEXYWNE,UOZZDEYFDFKHQS,2,10,gnps;pluskal_ms2
XNXXZRQPTAQILV,XNXXZRQPTAQILV,3,8,mona;pluskal_ms2;riken
YHKYFYCSTJGMID,MSUDDHFTWMZEIJ,3,7,mona;msdial;riken
XEVQXKKKAVVSMW,XEVQXKKKAVVSMW,2,6,mona;riken
QKXGRPHIBLICSC,QKXGRPHIBLICSC,3,5,mona;msdial;riken
IQHUITKNHOKGFC,IQHUITKNHOKGFC,4,5,gnps;massbank;msdial;riken
KTGFOCFYOZQVRJ,KTGFOCFYOZQVRJ,3,4,gnps;massbank;riken
LESXFEZIFXFIQR,LESXFEZIFXFIQR,3,4,gnps;massbank;riken
LLQCRTZROWMVOL,LLQCRTZROWMVOL,2,2,mona;riken
QQTZGKRXYRFKIF,QQTZGKRXYRFKIF,2,2,msdial;riken
