inchikey14,metric_ik14,heavy_atom_comp,tautomer_shifted
IRDDNCAGWVSIGS,IRDDNCAGWVSIGS,C19N1O4,False
IRDGDAIJQWZAPY,IRDGDAIJQWZAPY,C19N3O3S2,False
IRDHBQQKXNFGCR,IRDHBQQKXNFGCR,C18F3N1O3,False
IRDHXZCAWDKVIP,IRDHXZCAWDKVIP,Br1C12N2O4,False
IRDIXDXDSUBHIU,IRDIXDXDSUBHIU,C23I1N2O3,False
IRDIZJQIDGVDSU,IRDIZJQIDGVDSU,C20N4O2,False
IRDKEZXJSZBHQV,IRDKEZXJSZBHQV,C18F1N4O1,False
IRDMDJNEZPCHEV,IRDMDJNEZPCHEV,C15N2O3S1,False
IRDNIGWNVMYXEX,IRDNIGWNVMYXEX,C17N2O2,False
IRDOVJJZBJZACO,IRDOVJJZBJZACO,C14N1O5,False
IRDPDVBYDOUXDO,IRDPDVBYDOUXDO,C19N2O2,False
IRDREWROJARYOD,IRDREWROJARYOD,C15F2N3O2,False
IRDSOUXMSCRWTC,IRDSOUXMSCRWTC,C16N6O1,False
IRDUIMFTALBYPR,IRDUIMFTALBYPR,C19N4O3,False
IRDXGBTUMMTKMV,IRDXGBTUMMTKMV,C11N2O7S1,False
IRDXNNHMUCLAFM,IRDXNNHMUCLAFM,C13Cl1F1N2O2S1,False
IRDZETWJOVXTBP,IRDZETWJOVXTBP,C23Cl1F1N2O3,False
IREAWBLRKGUFRW,IREAWBLRKGUFRW,C15N4O2,False
IRECEWVOLASFMD,IRECEWVOLASFMD,C18N3O5,False
IRECODZMOHQSFN,IRECODZMOHQSFN,C17F3N3O1,False
IREFSSHIIVVZCD,IREFSSHIIVVZCD,C14F1O3S1,False
IREIKBATDJNSBS,IREIKBATDJNSBS,C20N3O3,False
IREKKNMUOQZQDU,IREKKNMUOQZQDU,C16N3O2,False
IRELROQHIPLASX,MYMWDZLPEPMSCN,C15F3N2O2,True
IREMXRJEWAASIQ,IREMXRJEWAASIQ,C47O13P1,False
IRENFZISINKXRF,IRENFZISINKXRF,C15Cl1N2O4S1,False
IREVGUMSVUCVDC,IREVGUMSVUCVDC,C18N4O3,False
IREVIFDTLNFWCH,IREVIFDTLNFWCH,C16N5O1,False
IREVLQPGOVRDDE,IREVLQPGOVRDDE,C16N4O1,False
IREWGUJUCWZURW,IREWGUJUCWZURW,C19N4O2,False
IREWUGVZJMWXTF,IREWUGVZJMWXTF,C13F2N2O4S1,False
IREXLBYIZXPNNP,IREXLBYIZXPNNP,C35N4O8,False
IREYVARSDGDJLM,IREYVARSDGDJLM,C20N2O2,False
IRFCEPWDKMZNIT,IRFCEPWDKMZNIT,C19N5O1S1,False
IRFCFRUKQUUVSN,IRFCFRUKQUUVSN,C16N4O2,False
IRFCGIHAZMVVRH,IRFCGIHAZMVVRH,C32N1O3,False
IRFFRDYQMZRBQO,IRFFRDYQMZRBQO,C14N3O3,False
IRFFXFWCYZUHNG,IRFFXFWCYZUHNG,C14N1O2S1,False
IRFFXPNSUFPQSN,IRFFXPNSUFPQSN,C11N2,False
IRFFXTBFQZWTBE,IRFFXTBFQZWTBE,C16N4O2S1,False
IRFFYRPMJVHVFD,IRFFYRPMJVHVFD,C14F1N2O4S1,False
IRFGCRAFBWUZDY,IRFGCRAFBWUZDY,C14F1N3O3,False
IRFGDSBZVSCWLP,IRFGDSBZVSCWLP,C21N2O2,False
IRFHFYAAABZVGJ,IRFHFYAAABZVGJ,C17N2O3S1,False
IRFHSANVMNXPAT,IRFHSANVMNXPAT,C17F1N4O1,False
IRFIJEISFGLIFV,IRFIJEISFGLIFV,C20N3O2S1,False
IRFIOOJYLNAICQ,IRFIOOJYLNAICQ,C17Cl2N5O1,False
IRFJWHUPDYFIPF,IRFJWHUPDYFIPF,C15N4O2,False
IRFKAMISANGPNQ,IRFKAMISANGPNQ,C14F2N3O3,False
IRFKBRPHBYCMQU,IRFKBRPHBYCMQU,C12N2O6,False
IRFKFZNSGXXVKZ,IRFKFZNSGXXVKZ,C19N2O1S1,False
IRFLHALCXDUOOQ,IRFLHALCXDUOOQ,C20F1N3O3S1,False
IRFOJKZOTHKBBR,IRFOJKZOTHKBBR,C15N5O1S1,False
IRFPIMHIFZDGJP,IRFPIMHIFZDGJP,C17F1N3O2,False
IRFSCKLJHBWXLM,IRFSCKLJHBWXLM,C20N2O4S1,False
IRFSPHIKMHQSDP,IRFSPHIKMHQSDP,C17Cl1N2O3,False
IRFVGQHPCCQFCG,IRFVGQHPCCQFCG,C17Cl2N2O1,False
IRFVUEQDXWJWHA,IRFVUEQDXWJWHA,C15F1N2O2,False
IRFWZWLCYILRHA,IRFWZWLCYILRHA,C17N7O1,False
IRFXVMNJMLZAFY,IRFXVMNJMLZAFY,C14Cl1N2O3S1,False
IRFYPLPWJPSBIG,IRFYPLPWJPSBIG,C17N3O3,False
IRFYTGSJUCOEMP,IRFYTGSJUCOEMP,C17N1O5,False
IRGAOAOQQCTCGN,IRGAOAOQQCTCGN,C18N4O1,False
IRGFNBRYIWLUOO,IRGFNBRYIWLUOO,C30F1N4O2,False
IRGFUULKFKDRFW,IRGFUULKFKDRFW,C14F1N3O2,False
IRGGBZJEYQEPCI,IRGGBZJEYQEPCI,C20F1N3O3,False
IRGJVQIJENCTQF,IRGJVQIJENCTQF,C26N2O8,False
IRGKZEPVOHRWLY,IRGKZEPVOHRWLY,C17F2N1O5,False
IRGLQAQREJGBJS,IRGLQAQREJGBJS,C27F3N2O3,False
IRGNMWYFGYUHBG,IRGNMWYFGYUHBG,C17N4O1S1,False
IRGNWISTWHZQIP,IRGNWISTWHZQIP,C16N2O2S1,False
IRGVRXCPFLHGCZ,IRGVRXCPFLHGCZ,C18N2O3S1,False
IRGWPEKHOAMTTA,IRGWPEKHOAMTTA,C16Cl1N2O3S1,False
IRGYSXZCDAWOOC,IRGYSXZCDAWOOC,C16N2O2S2,False
IRGYVDFGVHFVFP,IRGYVDFGVHFVFP,C16N4O2,False
IRHAWAHAWPPSFP,IRHAWAHAWPPSFP,C21O13,False
IRHCUEVIUGENLP,IRHCUEVIUGENLP,C17F1N3O1,False
IRHDQUAGTBIHNK,IRHDQUAGTBIHNK,C16N2O3,False
IRHFPGLZBZRUAX,IRHFPGLZBZRUAX,C16F1N3O3S2,False
IRHGVGXZKQUKKH,IRHGVGXZKQUKKH,C16N2O4S1,False
IRHHFEIPNYMCJH,IRHHFEIPNYMCJH,C16N4O1S1,False
IRHILSPEZPAFHH,IRHILSPEZPAFHH,C21N3O2,False
IRHLQQBQJGAJBH,IRHLQQBQJGAJBH,C15N2O3S1,False
IRHMALISIVSUKP,IRHMALISIVSUKP,C14N3O2,False
IRHMLSMMCMLMTA,IRHMLSMMCMLMTA,C21N4O1,False
IRHNPCJCZPIKMN,IRHNPCJCZPIKMN,C19N5O1,False
IRHNVDSCADTWGR,IRHNVDSCADTWGR,C26N1O4,False
IRHOAPKJXMASQM,IRHOAPKJXMASQM,C17N4O2,False
IRHONMKUQNRPNO,IRHONMKUQNRPNO,C17N5O1S1,False
IRHOWCNYIANBTN,IRHOWCNYIANBTN,C17N5O3,False
IRHSNOKLWWUDGH,IRHSNOKLWWUDGH,C11N1O5S1,False
IRHSWDCEFAIJAL,IRHSWDCEFAIJAL,C16F1N3O2S1,False
IRHTZOCLLONTOC,IRHTZOCLLONTOC,C26O1,False
IRHVESFEXOZYJV,IRHVESFEXOZYJV,C35O14,False
IRIAEXORFWYRCZ,IRIAEXORFWYRCZ,C19O4,False
IRICLQUUXMZVBQ,IRICLQUUXMZVBQ,C15N4O2S1,False
IRIFUTXWBYDCRB,IRIFUTXWBYDCRB,C19N5O2,False
IRIHIVBLFGNHQO,IRIHIVBLFGNHQO,C20F1N3O2S1,False
IRIHPXBDFDUCMA,IRIHPXBDFDUCMA,C18F3N2O3S1,False
IRIJZKZZULRTHX,IRIJZKZZULRTHX,C15Cl1N2O6S1,False
IRIKOFVOCRZPKL,IRIKOFVOCRZPKL,C21Cl1N4O3,False
IRIRWHHUABILPU,IRIRWHHUABILPU,C14F3N4O1S1,False
IRIRXELZCLORIH,IRIRXELZCLORIH,C16F2N4O2,False
IRIWHQUSQVQMRH,IRIWHQUSQVQMRH,C16N2O2S1,False
IRIXNYQSOOPVMH,IRIXNYQSOOPVMH,C17N1O4S1,False
IRIXVAFBSDHCTK,IRIXVAFBSDHCTK,C16F1N4O1,False
IRIYNWXFUVGMTN,IRIYNWXFUVGMTN,C18N6,False
IRIZIEMEYNDDAX,IRIZIEMEYNDDAX,C16F1N4O3,False
IRJACSJRMIMVBK,IRJACSJRMIMVBK,Br1C14N3O2,False
IRJAFYDJCLVTRN,IRJAFYDJCLVTRN,C8N3O2,False
IRJBZFYEAXWUII,IRJBZFYEAXWUII,C18F1N5O1,False
IRJCKHLLQGQOEC,IRJCKHLLQGQOEC,C17N4O2,False
IRJFHKQLKISXOF,IRJFHKQLKISXOF,C23N1O5,False
IRJFKSJPPRREAH,IRJFKSJPPRREAH,C15N1O4,False
IRJGQOGNNNYUDD,IRJGQOGNNNYUDD,Br1C15N3O4,False
IRJGTIYBJHACDX,IRJGTIYBJHACDX,C18N6O1,False
IRJLMSFZANXFSE,IRJLMSFZANXFSE,C16N2O6S1,False
IRJLZHSOUWMCJY,IRJLZHSOUWMCJY,C19N4O2,False
IRJNKFHVQPEDJV,IRJNKFHVQPEDJV,C15N6O2,False
IRJPRKROTFJWDU,IRJPRKROTFJWDU,C14F1N3O4S1,False
IRJQPSIKNHSCKS,IRJQPSIKNHSCKS,C19N2O3,False
IRJQRASSMIOSES,IRJQRASSMIOSES,C19F1N2O3,False
IRJQWZWMQCVOLA,IRJQWZWMQCVOLA,C15F2N4O3,False
IRJSHOOJGXTHHE,IRJSHOOJGXTHHE,C19N5O2,False
IRJSPDGRXZWKSG,IRJSPDGRXZWKSG,C20N3O2,False
IRJZEXFWCSDIHF,IRJZEXFWCSDIHF,C20N2O2,False
IRKCHHNCZZBBPF,IRKCHHNCZZBBPF,C19N2O4,False
IRKFOLIBBQDADK,IRKFOLIBBQDADK,C19O11,False
IRKHKGOKMMWNGB,IRKHKGOKMMWNGB,C20Cl2N2O2,False
IRKJBAHISRKNEJ,IRKJBAHISRKNEJ,C21Cl1N6O1S1,False
IRKKENRPTZJBLU,IRKKENRPTZJBLU,C21N6O1,False
IRKKQYFKEOPWLG,IRKKQYFKEOPWLG,C30O7,False
IRKOUQPHMWOUTN,IRKOUQPHMWOUTN,C22F1N5O2,False
IRKPACULPDBIJJ,IRKPACULPDBIJJ,C16N4O3,False
IRKPUDUGLVFCKH,IRKPUDUGLVFCKH,C14N1O6P1,False
IRKQAVHHAUXHKX,IRKQAVHHAUXHKX,C19N5O2S1,False
IRKQIWIKQRNWIM,IRKQIWIKQRNWIM,C17F3N2O2,False
IRKQPJWARJIXFG,IRKQPJWARJIXFG,C15N1O1,False
IRKSGEPNRKXLLJ,IRKSGEPNRKXLLJ,C20F2N3O3,False
IRKVXYKLXPXMKC,IRKVXYKLXPXMKC,C19F1N3O3S1,False
IRKZHOONMSZJQT,IRKZHOONMSZJQT,C18N8,False
IRLAUGQITHIPNB,IRLAUGQITHIPNB,C17N4O2,False
IRLBDFWTGYPISH,IRLBDFWTGYPISH,C15Cl2N4O1,False
IRLCANXQTYHOAV,IRLCANXQTYHOAV,C20N5O2,False
IRLDEELSGWSWNM,IRLDEELSGWSWNM,C14N5O2S2,False
IRLGQISZIQZNKU,IRLGQISZIQZNKU,C63O6,False
IRLHLVDOVQJMOS,IRLHLVDOVQJMOS,C19N4O2,False
IRLJRBGBYUEHMT,IRLJRBGBYUEHMT,C18F3N3O3,False
IRLKQVLGKHZGHV,IRLKQVLGKHZGHV,C16N3O3S1,False
IRLLPYQZIDZRPZ,IRLLPYQZIDZRPZ,C29N1O8S1,False
IRLNKOAURQPXIQ,IRLNKOAURQPXIQ,C20O12,False
IRLPACMLTUPBCL,IRLPACMLTUPBCL,C10N5O10P1S1,False
IRLSIZXKENAUTE,IRLSIZXKENAUTE,C16N2O4,False
IRLUFIJFZSNLIF,IRLUFIJFZSNLIF,C14N1O5,False
IRLVFESITFNKTM,IRLVFESITFNKTM,C27N3O4S1,False
IRLYGRLEBKCYPY,IRLYGRLEBKCYPY,C8O3S1,False
IRMCYJXQPYXLND,IRMCYJXQPYXLND,C18Cl1N1O3,False
IRMDYJQSTWKJOW,IRMDYJQSTWKJOW,C17N2O2S1,False
IRMIMSIHXRLNGY,IRMIMSIHXRLNGY,C18N2O3,False
IRMKFFXVYPYROC,IRMKFFXVYPYROC,C16F2N1O4,False
IRMLMJHLHDVVSN,IRMLMJHLHDVVSN,C22N2O1,False
IRMLUKIZXMVKHZ,IRMLUKIZXMVKHZ,C16N6O1,False
IRMPFYJSHJGOPE,IRMPFYJSHJGOPE,C11O2,False
IRMRUOUCNVFJCN,IRMRUOUCNVFJCN,C16N1O4S1,False
IRMSTHICMWGCRA,IRMSTHICMWGCRA,C17F1N2O1,False
IRMUPOSSDHTOMW,IRMUPOSSDHTOMW,C15N4O3,False
IRMWKGDGENMZIC,IRMWKGDGENMZIC,C12N3O3S1,False
IRMWWHZXGGTWKA,IRMWWHZXGGTWKA,C16F2N1O4,False
IRMXBOZLKDKHOF,IRMXBOZLKDKHOF,C21N2O3,False
IRNBHECLJNBAKT,IRNBHECLJNBAKT,C13N4O2S1,False
IRNBUKGCOWGFRC,IRNBUKGCOWGFRC,C13Cl1N1O4S2,False
IRNFJIQZYLULQX,IRNFJIQZYLULQX,Br1C20N3O3,False
IRNFMGWYXGGEQU,IRNFMGWYXGGEQU,C18N2O1S2,False
IRNGSAQSNVVRPI,IRNGSAQSNVVRPI,C16N2O2,False
IRNJRBZEFZBZJM,IRNJRBZEFZBZJM,C17F1N4O2,False
IRNJSRAGRIZIHD,SJOXOZFIJKNJKJ,C19N2O4S1,True
IRNKXQLANGRHNK,IRNKXQLANGRHNK,C18N1O3S1,False
IRNMFDHNQOVACF,IRNMFDHNQOVACF,C19N5O1S1,False
IRNONBZKSGXKIB,IRNONBZKSGXKIB,C20N2O4,False
IRNOOBVMLWNTRF,IRNOOBVMLWNTRF,C17N5O3,False
IRNSZOLJHCBCME,IRNSZOLJHCBCME,C16N1O4S1,False
IRNTVMCVYNHMPG,IRNTVMCVYNHMPG,C14N3O3S2,False
IRNUPRQLMCJWCN,IRNUPRQLMCJWCN,C16N5O2S1,False
IRNWHPWKMQERNT,IRNWHPWKMQERNT,Br1C12N2O4S1,False
IRNXJOUGJXKUOB,IRNXJOUGJXKUOB,C14N8O1,False
IRNZOQZUEIQSBL,IRNZOQZUEIQSBL,C19N4O1S1,False
IROAHEOHQOGPFG,IROAHEOHQOGPFG,C15N5O2,False
IROBMFCTFLLGLQ,IROBMFCTFLLGLQ,C55O7,False
IROCZAQZTSMVKP,IROCZAQZTSMVKP,C19N3O3,False
IROGFDWUHFYVDV,IROGFDWUHFYVDV,C15N2O3,False
IROHDRYPKLVLIR,IROHDRYPKLVLIR,C17N3O2S1,False
IROINLKCQGIITA,IROINLKCQGIITA,C10N5S1,False
IROIPHAFVJSZRJ,IROIPHAFVJSZRJ,C19N2O2,False
IROKAOGBCSMTHR,SKVHZJNHJYIVJA,C25O5,True
IROKVWBMYFCPCQ,IROKVWBMYFCPCQ,C18N3O3S1,False
IROLHUHACAWWHM,IROLHUHACAWWHM,C19N4O1,False
IRONBASHNZPDLX,IRONBASHNZPDLX,C18N4O1,False
IRONMSIMOFXUGZ,IRONMSIMOFXUGZ,C26O6,False
IROPJMUIMOHINO,IROPJMUIMOHINO,C12F3N2O3,False
IRORCCIVIJQTOW,IRORCCIVIJQTOW,C18N3O1,False
IROSPZVWIXNQEI,IROSPZVWIXNQEI,C20N5O1,False
IROUONFKNAQMSI,IROUONFKNAQMSI,C17N4O2,False
IROVIGBGDPXLRZ,IROVIGBGDPXLRZ,C16F3N2O3,False
IROVUEMHPSUUBB,IROVUEMHPSUUBB,C18N6O3,False
IROVXPFDQDSWPJ,IROVXPFDQDSWPJ,Br1C14N6,False
IROWOJYZCLPTNM,IROWOJYZCLPTNM,C15N5O3S1,False
IROWPRHKCAQQEY,IROWPRHKCAQQEY,C18Cl1F1N1O3,False
IROWYDJJSYATKU,IROWYDJJSYATKU,C16F2N3O2,False
IROXUNLCFRRMGK,IROXUNLCFRRMGK,C18N2O3,False
IROZPEHSQXFPIQ,IROZPEHSQXFPIQ,C19N4O4,False
IROZQJRNWGXMKK,IROZQJRNWGXMKK,C10N5O2S1,False
IRPAKFAOXBQVSA,IRPAKFAOXBQVSA,C15F2N2O4,False
IRPBYQHXGCQJNQ,IRPBYQHXGCQJNQ,C12N5O2,False
IRPCBEXWZFAKOP,IRPCBEXWZFAKOP,C16N1O5S1,False
IRPDBBPUEOOEPP,IRPDBBPUEOOEPP,C45O18,False
IRPDQXOJQWUREV,IRPDQXOJQWUREV,C21N4O4S1,False
IRPFOXRBPHCCTG,IRPFOXRBPHCCTG,C15O5,False
IRPGGUPLORGUJC,IRPGGUPLORGUJC,C16N2O3S1,False
IRPHJLLCXCGGMZ,IRPHJLLCXCGGMZ,Br1C13N3O3,False
IRPIDPIUUYAUHR,IRPIDPIUUYAUHR,C16N6O2,False
IRPIMYDHOHVJNH,IRPIMYDHOHVJNH,C16Cl1N2O3,False
IRPJOTVJWOFFBR,IRPJOTVJWOFFBR,C8N3O2,False
IRPMNFPSWPNPKR,IRPMNFPSWPNPKR,C17Cl1N1O3,False
IRPNYNNYSZJQIB,SQCWECRZIQMCAY,C15N3O2,True
IRPSDSAYDMWHCN,IRPSDSAYDMWHCN,C11N1O2,False
IRPWBGNFLGRAHV,IRPWBGNFLGRAHV,C16N6O2,False
IRPXPMFRGGVHNW,IRPXPMFRGGVHNW,C21N2O3S1,False
IRPZCHIDVYVFPJ,IRPZCHIDVYVFPJ,C16F1N2O3S1,False
IRQAHNAGYNVMQP,IRQAHNAGYNVMQP,C19F3N4O2,False
IRQCBFKETWBEPD,IRQCBFKETWBEPD,C18N3O3S1,False
IRQFKAFEFGKHIT,IRQFKAFEFGKHIT,C18N3O3,False
IRQGRRADSADCNL,IRQGRRADSADCNL,C49N1O3,False
IRQIATCNLOGZIE,IRQIATCNLOGZIE,C17N1O3,False
IRQKSVABCCXEFH,IRQKSVABCCXEFH,C16N1O3S1,False
IRQLQRRQIHFEOV,IRQLQRRQIHFEOV,C21Cl2N5O2,False
IRQMCLRCHIPOKM,IRQMCLRCHIPOKM,C14N4O2S2,False
IRQMHWFKERLWHT,IRQMHWFKERLWHT,C16Cl1N3O2,False
IRQOROSSNXRMDS,IRQOROSSNXRMDS,Br1C18F1N3O3,False
IRQRMRNUKCLRSC,IRQRMRNUKCLRSC,C24N4O5S1,False
IRQSRQVWJCICCO,IRQSRQVWJCICCO,C20F1N6O2,False
IRQXZTBHNKVIRL,KMCZIPGKKBSLEX,C28O11,True
IRRFSEYFUVNFBN,IRRFSEYFUVNFBN,C13N6O2,False
IRRHJHSHKAJNRH,IRRHJHSHKAJNRH,C14N1O4,False
IRRHMVDHZYLEOO,IRRHMVDHZYLEOO,C17N1O3,False
IRRKKHCAJLHSJE,IRRKKHCAJLHSJE,C43N1O7P1,False
IRRQPINDUUPYDP,IRRQPINDUUPYDP,C19N3O4,False
IRRRVCJLJJOWLZ,IRRRVCJLJJOWLZ,C14F3N2O1,False
IRRUOLBVRGNGRD,IRRUOLBVRGNGRD,C16Cl1N3O1,False
IRRUQQAMIHZUOQ,IRRUQQAMIHZUOQ,C17N4O2,False
IRRWCXXRNYALOY,IRRWCXXRNYALOY,C19N6,False
IRRWLAJFSZYAAK,IRRWLAJFSZYAAK,C16N3O2,False
IRSCHMWKKRIMKU,IRSCHMWKKRIMKU,C18N3O4,False
IRSCQMHQWWYFCW,IRSCQMHQWWYFCW,C9N5O4,False
IRSFLDGTOHBADP,LQEIDFGJVUFQAZ,C17O4,True
IRSFLNXJVJKMDT,IRSFLNXJVJKMDT,C35N5O3S1,False
IRSOPTLPAFABCT,IRSOPTLPAFABCT,C11F3N3O3S1,False
IRSREJIXMDJGOZ,IRSREJIXMDJGOZ,C16N4O2S1,False
IRSUXHBCTWMHAK,IRSUXHBCTWMHAK,C25O13,False
IRSVPKOWXWCJDG,IRSVPKOWXWCJDG,C15F2N1O3,False
IRTCLTWGNMPGHV,IRTCLTWGNMPGHV,C20N2O2,False
IRTDIKMSKMREGO,IRTDIKMSKMREGO,C22N4O4,False
IRTFBUDQUBDVSB,IRTFBUDQUBDVSB,C14N4O3S1,False
IRTFYNWQADJCSC,IRTFYNWQADJCSC,C5F11O1,False
IRTMKNOXCYTIMJ,IRTMKNOXCYTIMJ,C16N2O3S1,False
IRTNJLBICOFJCV,IRTNJLBICOFJCV,C21N4O3,False
IRTOBEFAXGPKRN,IRTOBEFAXGPKRN,C21N3O1S1,False
IRTPFXRAAZHCTR,IRTPFXRAAZHCTR,C18N3O1,False
IRTVYMTYKQOEQH,IRTVYMTYKQOEQH,C16N4O3S1,False
IRTWMJPBJYSJRQ,IRTWMJPBJYSJRQ,C14N3O2,False
IRTXCPLRXDEWMV,IRTXCPLRXDEWMV,C18F1N2O2,False
IRTXMMZDAOUIAW,IRTXMMZDAOUIAW,C16N5O1S1,False
IRTXPGOWWGUSCP,IRTXPGOWWGUSCP,C18Cl2N4O2,False
IRTYUUHWFLXCBQ,IRTYUUHWFLXCBQ,C19F1N1O4S2,False
IRTZMJWVZQYURE,IRTZMJWVZQYURE,C13N3O3,False
IRTZZPMFCXQFFH,IRTZZPMFCXQFFH,C18N4O1,False
IRUAEHSOOOLZOM,IRUAEHSOOOLZOM,C16N2O3,False
IRUGPAVVDVWBEK,IRUGPAVVDVWBEK,C14N3O3,False
IRUHWRSITUYICV,IRUHWRSITUYICV,C10O3,False
IRUJQWKTCMWNHU,IRUJQWKTCMWNHU,C16N6O1,False
IRUNFDBLMBARHC,IRUNFDBLMBARHC,Br1C14F1N2O2,False
IRUNLNXUBUBTHT,IRUNLNXUBUBTHT,C14N3O2S1,False
IRUPOFUTIARQIU,IRUPOFUTIARQIU,C16F3N2O3,False
IRUQBLKZFJLVRL,IRUQBLKZFJLVRL,C20N5O2,False
IRUWGBHNLRALMQ,IRUWGBHNLRALMQ,C21N2O3,False
IRUWGYQDIAJXHO,IRUWGYQDIAJXHO,C19N1O3S3,False
IRUXQQIRWVPRLM,IRUXQQIRWVPRLM,C19N3O2S1,False
IRVBODQAQQPYJD,IRVBODQAQQPYJD,C19N5O2,False
IRVDMKJLOCGUBJ,IRVDMKJLOCGUBJ,C8N2O3P1S1,False
IRVFNSDLVFXDGO,IRVFNSDLVFXDGO,C15N1O2,False
IRVJAHNNQAQDJX,IRVJAHNNQAQDJX,C16N7O1,False
IRVOVWWCBGICKN,IRVOVWWCBGICKN,C46N1O9P1,False
IRVRMPRQBHKVFU,IRVRMPRQBHKVFU,C16N2O4S1,False
IRVSABRWYHCZEB,IRVSABRWYHCZEB,C19N1O3,False
IRVSFSSTWHYGDW,IRVSFSSTWHYGDW,C16N6O1,False
IRVTWEZAHPOGIJ,IRVTWEZAHPOGIJ,Br1C31N4O9S1,False
IRVVTHBHALHNGR,IRVVTHBHALHNGR,C21N2O2,False
IRVWPGMWWUWMCY,IRVWPGMWWUWMCY,C28N1O1,False
IRVWPZRYDQROLU,IRVWPZRYDQROLU,C19N1O5,False
IRVXWQZDFWGNOS,IRVXWQZDFWGNOS,C18F3N2O2S1,False
IRVZTSMQCDONTP,IRVZTSMQCDONTP,C25N4O2S1,False
IRWCEQPHEMIHAI,IRWCEQPHEMIHAI,C17Cl1N3O2,False
IRWCUNPTVPWPCU,IRWCUNPTVPWPCU,C15N6O3,False
IRWLKLSIDNGMCN,IRWLKLSIDNGMCN,C17N5O3S1,False
IRWPASIYHPMWOG,IRWPASIYHPMWOG,C17N2O4S1,False
IRWPSZHXQZHXFD,IRWPSZHXQZHXFD,C17N3O4,False
IRWRFKUTKSUFST,IRWRFKUTKSUFST,C46N1O8P1,False
IRWSCBKEZGEFEJ,IRWSCBKEZGEFEJ,C15N3O2S1,False
IRWSEFPLXVILKI,IRWSEFPLXVILKI,C15N4O4,False
IRWUEZFHFHKECS,IRWUEZFHFHKECS,C14F2N3O2,False
IRWVPHYWCHYZMX,IRWVPHYWCHYZMX,C16Cl1F1N3O2,False
IRWWMTICINBPDX,IRWWMTICINBPDX,C19F1N4O1,False
IRWXQBYVCKABBP,IRWXQBYVCKABBP,C44N2O6P1,False
IRWYUURWWBYPDE,IRWYUURWWBYPDE,C16N3O2,False
IRXAQUYRSQQDOQ,IRXAQUYRSQQDOQ,C21Cl1F1N3O1,False
IRXDUBNENLKYTC,IRXDUBNENLKYTC,C17O6,False
IRXFFKFSCIANNX,IRXFFKFSCIANNX,C16F1N5O1,False
IRXIEUDBDWXTTL,IRXIEUDBDWXTTL,C43O15,False
IRXJNYVCAAVPIQ,IRXJNYVCAAVPIQ,C12N3O3,False
IRXLHGLALPAJGU,IRXLHGLALPAJGU,C16N5O2,False
IRXTYKRHXMYVBP,IRXTYKRHXMYVBP,C30O9,False
IRXUJAUJGDTLDC,IRXUJAUJGDTLDC,C19N4O2,False
IRXWLIBKSXTJGB,IRXWLIBKSXTJGB,C16F1N2O2,False
IRXZEDOGZNRVHV,IRXZEDOGZNRVHV,C17F2N2O3,False
IRXZOYFFSQLFFS,IRXZOYFFSQLFFS,C9N1O6,False
IRYBBWVELMFISH,IRYBBWVELMFISH,C13N3O3,False
IRYBLUWIJFQKBE,IRYBLUWIJFQKBE,C15N3O1,False
IRYCXWBYKNXCSV,IRYCXWBYKNXCSV,C17N4O2S1,False
IRYDWOKEBBARMR,IRYDWOKEBBARMR,C14Cl1N2O3,False
IRYFCWPNDIUQOW,IRYFCWPNDIUQOW,C21F1N2O2,False
IRYHZSDHSCDMEW,IRYHZSDHSCDMEW,C20N3O3,False
IRYKCLLKUDDPEP,IRYKCLLKUDDPEP,C13Cl2F1N1O2,False
IRYLDXNTDUMKRH,IRYLDXNTDUMKRH,C18N4O1,False
IRYMXEVDAKMFIF,IRYMXEVDAKMFIF,C42N1O8P1,False
IRYOLFBMYKRWAM,IRYOLFBMYKRWAM,C15N2O2,False
IRYVBGWBIJIRIV,IRYVBGWBIJIRIV,C19N4O3,False
IRYWVTYNOOORLZ,IRYWVTYNOOORLZ,C14N4O1,False
IRYWYKTUZDLACW,IRYWYKTUZDLACW,C18N2O3,False
IRYXZQOHMXZRDZ,IRYXZQOHMXZRDZ,C22N2O6,False
IRZBVAMHHAONCJ,IRZBVAMHHAONCJ,C18N2O4,False
IRZCOTFBQICEAP,IRZCOTFBQICEAP,C17N4O1S1,False
IRZHIKMRZWOOOB,IRZHIKMRZWOOOB,C17N3O2,False
IRZICJRTVVITHV,IRZICJRTVVITHV,C12N1O5,False
IRZIRGSTEJPVHR,IRZIRGSTEJPVHR,C32N6O10,False
IRZONFBCAJHLNB,IRZONFBCAJHLNB,C19N2O2,False
IRZOZEPGZONCIH,IRZOZEPGZONCIH,C12N2O4,False
IRZQDMYEJPNDEN,IRZQDMYEJPNDEN,C10N1O2,False
IRZRJANZDIOOIF,IRZRJANZDIOOIF,C12N4O4,False
IRZRWFRLFFLLBH,IRZRWFRLFFLLBH,C42N1O11P1,False
IRZTUXPRIUZXMP,IRZTUXPRIUZXMP,C15O4,False
IRZUJWVNMWQCPT,IRZUJWVNMWQCPT,C16Cl2N1O3S1,False
IRZVBSNXJFXLOE,IRZVBSNXJFXLOE,C16Cl1N2O1,False
IRZVHDLBAYNPCT,IRZVHDLBAYNPCT,C16O4,False
IRZXLNGTXQIAON,IRZXLNGTXQIAON,C16N4O2S1,False
IRZYWEHGZCBIOO,IRZYWEHGZCBIOO,C20N3O3S2,False
