metric_ik14,n_inchikey14,inchikey14s,example_smiles
DRWHAZAPBMMMNQ,2,DRWHAZAPBMMMNQ;ZQLBONJLBKDOLE,CC(C)CC(NC(=O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1)C(=O)O;CC(C)CC(=NC(=O)C(c1ccccc1)c1oc(O)c(-c2ccccc2)c1O)C(=O)O
DSICZCHBBCAFDY,2,DSICZCHBBCAFDY;VSHCMWFKVGZKHC,COc1ccc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc1Br;COc1ccc(C2C(C(=O)OCCOc3ccccc3)=C(C)N=C3CC(C)(C)CC(=O)C32)cc1Br
DSJMUFZNWAQEJH,2,CUFTURFAMUTMKG;DSJMUFZNWAQEJH,CCSCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cc(Br)c(O)c(OC)c1;CCSCCOC(=O)C1=C(C)N=C2CCCC(=O)C2C1c1cc(Br)c(O)c(OC)c1
DSKHWRHVSHRZFU,2,LGZFJHSOBYVDLA;PKEGICXVZMKJPR,CC(CO)C1=C(O)c2ccc3c(c2C(=O)C1=O)CCCC3(C)C;CC(CO)C1=C(O)C(=O)c2c(ccc3c2CCCC3(C)C)C1=O
DSKVUOOECZNHMQ,2,BNZPDENCVXRJMM;DSKVUOOECZNHMQ,O=C(NCCCN1CCOCC1)c1ccccc1N1C(=O)C2Cc3c([nH]c4ccccc34)C(c3cccc(Cl)c3)N2C1=O;O=C(NCCCN1CCOCC1)c1ccccc1-n1c(O)c2n(c1=O)C(c1cccc(Cl)c1)c1[nH]c3ccccc3c1C2
DSTBWXWOGGHUNN,2,DKDGWAKCXBFTMM;DSTBWXWOGGHUNN,COC(=O)C(Cc1ccccc1)N=C(O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1;COC(=O)C(Cc1ccccc1)NC(=O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1;COC(=O)C(Cc1ccccc1)=NC(=O)C(c1ccccc1)c1oc(O)c(-c2ccccc2)c1O
DSXQBSPYHYXWDV,2,DSXQBSPYHYXWDV;HMZGZQPMJLEENU,COC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccc(Cl)cc1Cl;COC(=O)C1C(=N)Oc2c(oc(CO)cc2=O)C1c1ccc(Cl)cc1Cl
DTEBTAQZYORYDS,2,DTEBTAQZYORYDS;HFYDDOQMBZTGBR,CC(CCC1C(C(=O)O)=CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O;CC(CCC1=C(C(=O)O)CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O
DTRNBPVOMBKUTK,2,DTRNBPVOMBKUTK;QNUKRWAIZMBVCU,COc1ccc2c(c1)C(=Cc1c[nH]cn1)C(=O)N2;COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2;COc1ccc2c(c1)=C(Cc1c[nH]cn1)C(=O)N=2
DTRQYDCJHLATMU,2,AHKPCKHDSIQVNI;DTRQYDCJHLATMU,O=C1OC(c2ccc(O)cc2)C(O)=C1Cc1ccccc1;Oc1ccc(-c2oc(O)c(Cc3ccccc3)c2O)cc1
DTZRNHXICQIDQQ,2,DTZRNHXICQIDQQ;PAJOMZBUVDHRHG,COc1cc(C2C(C(=O)OC(C)C)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(Br)c1O;COc1cc(C2C(C(=O)OC(C)C)=C(C)N=C3CC(C)(C)CC(=O)C32)cc(Br)c1O
DULVJNJLXNQMQY,2,CKNLEFJPJHNMTN;DULVJNJLXNQMQY,CCC12CC(C(=O)OC)=C3Nc4ccccc4C34CCN(C(c3ccc5c(c3)C3CCN6CC(O)C(O)C7(CC)CCC3(N5)C67)C3OC31)C42;CCC12CC(C(=O)OC)C3=Nc4ccccc4C34CCN(C(c3ccc5c(c3)C3CCN6CC(O)C(O)C7(CC)CCC3(N5)C67)C3OC31)C42
DVFUJWFVDJAVKO,2,DVFUJWFVDJAVKO;IDGRYIRJIFKTAN,CC(=O)OCC12C(C=C(C)C(=O)C1O)OC1C(O)CC2(C)C12CO2;CC(=O)OCC12C(=O)C(=O)C(C)CC1OC1C(O)CC2(C)C12CO2
DVILUKQFOMRXFW,2,DVILUKQFOMRXFW;MZTJYRCGYQKHIR,COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cc(OC)c(OC)c(OC)c1;COC(=O)C1=C(C)N=C2CC(c3ccc(Cl)cc3)CC(=O)C2C1c1cc(OC)c(OC)c(OC)c1
DVSZTYJRXBBIFA,2,DVSZTYJRXBBIFA;QFJCIRLUMZQUOT,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C;COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
DWHWGYILIWWFAI,2,DWHWGYILIWWFAI;FMKLAIBZMCURLI,CCCCCC(=O)CCC1C=CC(=O)C1CC=CCCCC(=O)O;CCCCCC(=O)C=CC1CCC(=O)C1CC=CCCCC(=O)O
DWVVQWLJYKGGQV,2,DDFHHBJHPJDSKX;DWVVQWLJYKGGQV,COc1cc(C2NC(O)=NC(C)=C2C(=O)OCCOC(C)C)cc(Br)c1O;COc1cc(C2NC(=O)N=C(C)C2C(=O)OCCOC(C)C)cc(Br)c1O
DWZDGMDDUHAIQA,2,DWZDGMDDUHAIQA;KFKRXESVMDBTNQ,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5C(C)O)c(C)c4C(C)O)C(C)=C3CCC(=O)O;CC1=C(C(C)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)C(C(C)O)=C3C
DXBRHHPREJKXHJ,2,DUDMCOLAOVMIEZ;DXBRHHPREJKXHJ,COc1ccccc1C(=O)NN1C(=O)C2C3C=CC(O3)C2C1=O;COc1ccccc1C(=O)Nn1c(O)c2c(c1O)C1C=CC2O1
DYYIUCVAQGRACE,2,DYYIUCVAQGRACE;YJQPYGGHQPGBLI,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C;COC1C(OC(=N)O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C;COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C
DZTHLHPUUBICGU,2,DZTHLHPUUBICGU;KXQKSBAGVQMQSN,COC(=O)C(=C1OC(=O)C(c2ccc(OC)cc2)=C1O)c1ccccc1;COC(=O)C(=C1OC(=O)C(c2ccc(OC)cc2)C1=O)c1ccccc1
FAAPEROFFXRYGG,2,FAAPEROFFXRYGG;MXMCPSADIJXXRC,CCCCCC=CC=CC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(=O)C(C)CC;CCCCC=CC=CCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(=O)C(C)CC
FACRSCOHUPSUMI,2,FACRSCOHUPSUMI;OKBVVJOGVLARMR,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1;C=CC1=C(C(=O)O)N2C(=O)C(N=C(O)C(=NOCC(=O)O)c3csc(=N)[nH]3)C2SC1;C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1
FANMRWOIBYPWGA,2,BOSPWDGVNSGRFD;FANMRWOIBYPWGA,C=C(C(=O)C(O)C(C)C1C(OC(C)=O)CC2(C)C3CCC4C(C)C(=O)C=CC45CC35CCC12C)C(C)C;CC(=O)OC1CC2(C)C3CCC4C(C)C(=O)C=CC45CC35CCC2(C)C1C(C)C(=O)C(=O)C(C)C(C)C
FBBYEJJQINKJNE,2,DMKSVUSAATWOCU;FBBYEJJQINKJNE,CCOC(=O)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C;CCOC(=O)OC1(C(=O)OCCl)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C
FBEJFMJZCFJIHE,2,FBEJFMJZCFJIHE;FIPJYCSLXSWRIM,COc1ccc2c(c1)N=C1C(CC(=O)N1CCN(C)C)S2;COc1ccc2c(c1)Nc1c(cc(O)n1CCN(C)C)S2
FBNBLNQGOCEWJT,2,FBNBLNQGOCEWJT;KMIOJWCYOHBUJS,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC1CCN(C(=O)N(C)C)C1;C=c1c(C(=O)NC2CCN(C(=O)N(C)C)C2)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12
FBYFJOVKHROJSY,2,FBYFJOVKHROJSY;UHSKFQJFRQCDBE,CCCN(CCC)CCc1cccc2c1CC(=O)N2;CCCN(CCC)CCc1cccc2[nH]c(O)cc12
FCYRUIVZYHKCPI,2,COWWBPRRBQOULA;FCYRUIVZYHKCPI,C=C(C)C(=O)OC1C2C(=C)C(=O)OC2CC(C)C=CC(=O)C(C)(O)C1OC(C)=O;C=C(C)C(=O)OC1C2C(=C)C(=O)OC2CC(C)=CCC(=O)C(C)(O)C1OC(C)=O
FDKXTQMXEQVLRF,2,FDKXTQMXEQVLRF;OMJKFYKNWZZKTK,CN(C)N=Nc1nc[nH]c1C(N)=O;CN(C)NN=C1N=CN=C1C(N)=O
FEBXPWGNMBVKHP,2,FEBXPWGNMBVKHP;KXUJXPZXILTXDA,CCC(C)C1C(=O)N2CCCC2C(=O)OC(C(C)(C)C)CC(C)CC(O)C(C)C2=NC(C=C(C)C(=O)NC(Cc3ccc(OC)cc3)C(=O)N(C)C(C)C(=O)N1C)CS2;CCC(C)C1C(=O)N2CCCC2C(=O)OC(C(C)(C)C)CC(C)CC(O)C(C)C2=NC(CS2)CC(C)C(=O)N=C(Cc2ccc(OC)cc2)C(=O)N(C)C(C)C(=O)N1C
FEFNEVAEYGVFAR,2,FEFNEVAEYGVFAR;GHCDJBVCFINEBQ,C=CC(C1=CC(=O)C=CC1=O)c1ccccc1;CC=C(C1=CC(=O)C=CC1=O)c1ccccc1
FETOMZZQYPFKRV,2,FETOMZZQYPFKRV;GIGFIWJRTMBSRP,CCC12CCCN3CCC4(C(=C(C(=O)OC)C1)Nc1ccccc14)C32;CCC12CCCN3CCC4(C(=Nc5ccccc54)C(C(=O)OC)C1)C32
FFMNTJUMRKZQHP,2,FFMNTJUMRKZQHP;OOGKJKAIYXOODY,CCC(C)C1NC(=O)C(C(C)C)NC(=O)C(C)=CC(C)CC(C)CC(C)CCC(C)OC1=O;CCC(C)C1=NC(=O)C(C(C)C)NC(=O)C(C)CC(C)CC(C)CC(C)CCC(C)OC1=O
FFUGEJHDVPUNLZ,2,FFUGEJHDVPUNLZ;JRGSONPJAHDIGK,C=C1C=CC(=O)N(C)CC(=O)OC(CCCCCCCCCCCCC)C(C)C(=O)C(C)(O)C(=O)NCC(=O)N1;C=C1C=CC(=O)N(C)CC(=O)OC(CCCCCCCCCCCCC)C(C)C(=O)C(C)(O)C(O)=NCC(O)=N1;CCCCCCCCCCCCCC1OC(=O)CN(C)C(=O)C=CC(C)=NC(=O)CNC(=O)C(C)(O)C(=O)C1C
FGDFBDMCHJUKLV,2,FGDFBDMCHJUKLV;JUKPWJGBANNWMW,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13;COC(=O)C1C=C2CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13
FGIDWNWFOFFNFU,2,FGIDWNWFOFFNFU;VSVUYWHJSOBUDT,CC=C1C2CC[N+]3([O-])CCC4(C(=C2C(=O)OC)Nc2ccccc24)C13;CC=C1C2CC[N+]3([O-])CCC4(C(=Nc5ccccc54)C2C(=O)OC)C13
FHVFUSPXGKLDPN,2,FHVFUSPXGKLDPN;WKUOPGZYLRFCHJ,CC(C)C(=O)OC1C2C(CC(C)C3C=CC(=O)C31C)OC(=O)C2C;CC(C)C(=O)OC1C2C(CC(C)C3=CCC(=O)C31C)OC(=O)C2C
FHZBEDFTENYYLS,2,FHZBEDFTENYYLS;MLEYBVBRIZGXRW,COC(=O)C1(C2OC(=O)CC2C)CC(=O)c2c(ccc(-c3ccc4c(c3O)C(=O)C3C(=O)CC(C)C(O)C3(C(=O)OC)O4)c2O)O1;COC(=O)C1(C2OC(=O)CC2C)CC(=O)c2c(ccc(-c3ccc4c(c3O)C(=O)C3=C(O)CC(C)C(O)C3(C(=O)OC)O4)c2O)O1
FIGJCWRLGOCHPH,2,FIGJCWRLGOCHPH;ZQRSWRVAAABQEF,C=CCC1C=C(C)CC(C)CC(O)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC;C=CCC1=CC(C)CC(C)CC(O)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
FIVPIQADCOIIHF,2,FIVPIQADCOIIHF;FNPXMHRZILFCKX,CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C;CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C
FJKNKUURUXGVND,2,FJKNKUURUXGVND;LEDBLXKSQNTAKZ,Cc1cc(O)cc(=O)n1CCCC(=O)N1CCCC1c1nc2ccccc2n1C(C)C;Cc1cc(=O)cc(O)n1CCCC(=O)N1CCCC1c1nc2ccccc2n1C(C)C
FJSBPLZRTNYNSX,2,FIVNBWKMIJROKK;FJSBPLZRTNYNSX,CCC=CC=CC1(C)OC(CC(CO)OC)=CC1=O;CCC=CC=CC1(C)OC(=CC(CO)OC)CC1=O
FJSUWTJAYNCXES,2,FJSUWTJAYNCXES;IHLWXZNPOVMUFQ,CC(O)=NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1;CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1;CC(=O)NCCc1ccc(O)c(C2C(=O)C(=O)c3c(c(O)c4c(C(=O)O)c(C(=O)O)c(O)cc4c3O)C2=O)c1
FKDBRHZVPVRACZ,2,CELZEZYUAVUZRU;FKDBRHZVPVRACZ,CCCCCCCCCCCC(O)=C1C(=O)C(C)N(C)C1=O;CCCCCCCCCCCC(=O)c1c(O)c(C)n(C)c1O
FKNLUSFWXHXGIN,2,FKNLUSFWXHXGIN;QNUUYJZICNRMSA,Cn1cc2c3c1C(=O)C(N)=C(Cl)C3=NCC2;Cn1cc2c3c1C(=O)C(=N)C(Cl)C3=NCC2
FKVCWKSZFUZOPJ,2,FKVCWKSZFUZOPJ;SDQGXNQDYJJFFE,CC=C(C)C(=O)OC1CC(C)=C2C(=O)C=C(C)C2C2OC(=O)C(C)(OC(=O)C=C(C)C)C12;CC=C(C)C(=O)OC1C=C(C)C2=C(C(C)CC2=O)C2OC(=O)C(C)(OC(=O)C=C(C)C)C12
FLDPBMANMDLQTH,2,FLDPBMANMDLQTH;YASAKCUCGLMORW,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1;CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ccccn1;CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1
FLMIOANAVARRAD,2,FLMIOANAVARRAD;WZPBZJONDBGPKJ,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O;CC1C(=NC(=O)C(NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
FLRKHYUQMPGATP,2,FLRKHYUQMPGATP;WTURHHSEHGCTBS,CC(=O)OC1CC2C(C=C(C)C(=O)C3(O)CC(C)C(OC(=O)c4ccccc4)C3C=C1C)C2(C)C;CC(=O)OC1CC2C(=CC(C)C(=O)C3(O)CC(C)C(OC(=O)c4ccccc4)C3C=C1C)C2(C)C
FMHWJXXBEQKVHB,2,CJBZJZGULKATPY;FMHWJXXBEQKVHB,COc1c(O)cc2c(=O)c3c(O)cc(O)c(CC=C(C)C)c3oc2c1CC=C(C)C;COc1c(O)cc2c(=O)c3c(O)cc(O)c(CC=C(C)C)c3oc2c1C=CC(C)C
FMTRVMMVJVNHSF,2,FMTRVMMVJVNHSF;QQYQHZUMKAJTAA,CC1=CC(=O)C(O)C(C)=CC(CO)C(C)CC2C=C(C)C2CC1;CC1=CC(=O)C(=O)C(C)CC(CO)C(C)CC2C=C(C)C2CC1
FMWIGZBSYCRAKW,2,FMWIGZBSYCRAKW;MQHYCNRALPIGFM,CC1CCC2(OC1)OC1CC3C4C(O)C(=O)C5(O)C(O)C(O)C(O)C(O)C5(C)C4CCC3(C)C1C2C;CC1CCC2(OC1)OC1CC3C4C(=O)C(O)C5(O)C(O)C(O)C(O)C(O)C5(C)C4CCC3(C)C1C2C
FNBVPYHAXGLIBQ,2,FNBVPYHAXGLIBQ;HMUNAHGDBDCYKK,Cc1[nH]nc2c1C(c1ccc(O)cc1)C(C#N)=C(N)O2;Cc1[nH]nc2c1C(c1ccc(O)cc1)C(C#N)C(=N)O2
FOALFYDLPRPLMJ,2,FOALFYDLPRPLMJ;YZBAXVICWUUHGG,C[N+](C)([O-])CCNc1ccc(NCC[N+](C)(C)[O-])c2c1C(=O)c1c(O)ccc(O)c1C2=O;C[N+](C)([O-])CCNc1ccc(NCC[N+](C)(C)[O-])c2c(O)c3c(c(O)c12)C(=O)C=CC3=O
FOLRMBJDXPFMAO,2,AEFNHJDBIBMLSP;FOLRMBJDXPFMAO,COc1cccc(C2c3[nH]c4ccccc4c3CC3C(=O)N(c4ccccc4C(=O)N4CCCC4C(=O)O)C(=O)N32)c1;COc1cccc(C2c3[nH]c4ccccc4c3Cc3c(O)n(-c4ccccc4C(=O)N4CCCC4C(=O)O)c(=O)n32)c1
FPIGMGMXBTVUMN,2,FPIGMGMXBTVUMN;WJZFXCPBSLOUNH,CC(=O)OC12CC(C)C(O)C1C=C(COC1OC(CO)C(O)C(O)C1O)CCC1C(C=C(C)C2=O)C1(C)C;CC(=O)OC12CC(C)C(O)C1C=C(COC1OC(CO)C(O)C(O)C1O)CCC1C(=CC(C)C2=O)C1(C)C
FQCPPVRJPILDIK,2,FQCPPVRJPILDIK;HBDSHCUSXQATPO,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO;O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12
FQHIMEKYPUAPEC,2,FQHIMEKYPUAPEC;YBXUUELSZBVEKX,COC(=O)C1=C2Nc3ccccc3C23CCN2CC=CC(C(C)OC(C)=O)(C1)C23;COC(=O)C1CC2(C(C)OC(C)=O)C=CCN3CCC4(C1=Nc1ccccc14)C32
FQJUYKKFXKKNHU,2,FQJUYKKFXKKNHU;QNLGNISMYMFVHP,CC(C)=CCc1cc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)cc(O)c1O;CC(C)=CCc1c(O)cc2occ(-c3cc(O)c(O)c(C=CC(C)C)c3)c(=O)c2c1O
FRAUFLZYRQFQFB,2,FRAUFLZYRQFQFB;HQFFZMGHAJTRBU,C=C1C=CC(=O)N(C)CC(=O)OC(CCCCCCCCCCCC(C)C)C(C)C(=O)C(C)(O)C(=O)NCC(=O)N1;CC1=CCC(=O)N(C)CC(=O)OC(CCCCCCCCCCCC(C)C)C(C)C(=O)C(C)(O)C(=O)N=CC(=O)N1
FRMQRDZATLVXNN,2,FRMQRDZATLVXNN;QJKBUSGUNXZSRG,CC(CCCO)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;CC(CCCO)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
FRNCTTUBAHKEBZ,2,FRNCTTUBAHKEBZ;JFTNFUWYCWYMKW,COC(=O)c1[nH]ccc2c3ccccc3nc1-2;COC(=O)c1nccc2c1[nH]c1ccccc12
FRNUOGXEGATBQO,2,FRNUOGXEGATBQO;LEWZYXRJQLNBGU,COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2Cl)C3)cc1O;COc1ccc(C2Nc3ccccc3N=C3CC(c4ccccc4Cl)CC(=O)C32)cc1O
FRPTXWGWXWMVEH,2,FRPTXWGWXWMVEH;VYXXYRCQTBQDRW,Cc1ccccc1C1c2[nH]c3ccccc3c2CC2C(=O)N(c3ccccc3C(=O)NCCN3CCOCC3)C(=O)N21;Cc1ccccc1C1c2[nH]c3ccccc3c2Cc2c(O)n(-c3ccccc3C(=O)NCCN3CCOCC3)c(=O)n21
FSNKKGLKLSVLOB,2,FSNKKGLKLSVLOB;ZGRSXMWWGUOTAO,CC=CC=CC=CC(=O)NC(Cc1ccccc1)C(=O)NC1COC(=O)C2CC(C)CN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C2CCCN2C1=O;CC=CC=CCCC(=O)N=C(Cc1ccccc1)C(=O)NC1COC(=O)C2CC(C)CN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C2CCCN2C1=O
FSSVWWXJLHNOMP,2,ASOSVCXGWPDUGN;FSSVWWXJLHNOMP,CC1=CC(=O)C(C)O1;Cc1cc(O)c(C)o1
FTIUMRBREVALKG,2,FTIUMRBREVALKG;MAGQQZHFHJDIRE,CCCCCC=CC=CC(=O)NCC(C)C;CCCCCC=CC=CC(O)=NCC(C)C;CCCCC=CC=CCC(=O)NCC(C)C
FWLUICIOLGDYDK,2,FWLUICIOLGDYDK;GRTQHWQVNIGNKX,COc1cccc(C2c3[nH]c4ccccc4c3CC3C(=O)N(c4ccccc4C(=O)NCCCN4CCOCC4)C(=O)N32)c1;COc1cccc(C2c3[nH]c4ccccc4c3Cc3c(O)n(-c4ccccc4C(=O)NCCCN4CCOCC4)c(=O)n32)c1
FWPOSECRGQPCGI,2,FWPOSECRGQPCGI;SXUGSBCTMDLZPH,COc1ccc(OC)c(-c2[nH]c(C(=O)NCCCN3CCOCC3)cc3c4ccccc4nc2-3)c1;COc1ccc(OC)c(-c2nc(C(=O)NCCCN3CCOCC3)cc3c2[nH]c2ccccc23)c1
FXGZEEVXGIULJD,2,FXGZEEVXGIULJD;KWNGCDRVFPCQSZ,COc1cc(C2C(C#N)=C(N)Oc3n[nH]c(C(C)(C)C)c32)ccc1O;COc1cc(C2c3c(C(C)(C)C)n[nH]c3OC(=N)C2C#N)ccc1O
FXLQTCWYUQYUQR,2,FXLQTCWYUQYUQR;QIUASFSNWYMDFS,C=CCN(C=C1C(=O)OC(COC)C2(C)C1=C(O)C(=O)C1=C2C(OC(C)=O)CC2(C)C(=O)CCC12)CC=C;C=CCN(C=C1C(=O)OC(COC)C2(C)C3=C(C(=O)C(=O)C12)C1CCC(=O)C1(C)CC3OC(C)=O)CC=C
FXOAFDWOBHHEGF,2,BBRMJCAPNGJKEM;FXOAFDWOBHHEGF,CCCCCCCC=CC=CC(O)=NCC(C)C;CCCCCCCC=CC=CC(=O)NCC(C)C;CCCCCCC=CC=CCC(=O)NCC(C)C
FYMVLOXRVLSINK,2,FYMVLOXRVLSINK;XETDAWMNFAQXQO,CC1OC2CC(=O)OC2c2c1c(O)c1c(O)c(-c3cc(=O)c4c(=O)c5c(c(=O)c=4c3=O)C(C)OC3CC(=O)OC53)cc(O)c1c2O;CC1OC2CC(=O)OC2C2=C1C(=O)c1c(O)c(-c3cc(O)c4c(c3O)C(=O)C3=C(C4=O)C4OC(=O)CC4OC3C)cc(O)c1C2=O
FZCRTHCFRLWRIF,2,FZCRTHCFRLWRIF;TZESVTWNFDGIAW,COc1c(O)cc(C2C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)cc1[N+](=O)[O-];COc1c(O)cc(C2c3c(c4ccccc4oc3=O)OC(=N)C2C#N)cc1[N+](=O)[O-]
FZRXMFALLOWOSG,2,FZRXMFALLOWOSG;GPNGWOBKONOKJA,O=C1C([S+]([O-])c2ccc(Cl)cc2)=C(O)c2cccc3cccc1c23;O=C1c2cccc3cccc(c23)C(=O)C1[S+]([O-])c1ccc(Cl)cc1
GADFHZPEJJBGDD,2,GADFHZPEJJBGDD;RGCKGOZRHPZPFP,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O;O=C1C=Cc2c(c(O)c3ccccc3c2O)C1=O
GASUXVPITUFARI,2,GASUXVPITUFARI;RRCGNPRHZQPOOT,CC(O)(CO)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C;CC(O)(CO)CCC(O)C(C)(O)C1CCC2(O)C3=C(CCC12C)C1(C)CC(O)C(O)CC1C(=O)C3
GAXHFWNTPJWCSK,2,GAXHFWNTPJWCSK;WKPLWDFQTVJLIX,COC(=O)C(CO)C(O)CCCCC(C)CC(C)=CC(C)=CC(=O)O;COC(=O)C(CO)C(O)CCCCC(C)C=C(C)C=C(C)CC(=O)O
GBFMXJIPEWEABS,2,GBFMXJIPEWEABS;QMBJSIBWORFWQT,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C;CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)CCC4(C)C3CCC21C
GBXVQEOEUSYSAR,2,GBXVQEOEUSYSAR;VPQRNZFGZFCEOA,CCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cc(Br)c(O)c(OC)c1;CCOC(=O)C1=C(C)N=C2CCCC(=O)C2C1c1cc(Br)c(O)c(OC)c1
GCSRZDMXELYPSR,2,GCSRZDMXELYPSR;YFCWSBIPWQILAA,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1cccc(Br)c1;N#CC1C(=N)Oc2c(c(=O)oc3ccccc23)C1c1cccc(Br)c1
GDFYOFRUCOXZJX,2,GDFYOFRUCOXZJX;ODTVTKNTHDWUIX,CC1=C(C(=O)Nc2cccc(C)n2)C(c2ccsc2)C2=C(CCCC2=O)N1;CC1=C(C(=O)Nc2cccc(C)n2)C(c2ccsc2)C2C(=O)CCCC2=N1
GEDOJGOURGMPBA,2,FJCUPROCOFFUSR;GEDOJGOURGMPBA,O=CC(O)C(O)C(OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O)C(O)CO;O=C(C(O)CO)C(OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O)C(O)CO
GEPDGLAYVMSSHX,2,ACXYAIZBAYFXGU;GEPDGLAYVMSSHX,CCCC1=C(C(=O)OCC)C(c2cc(Br)c(O)c(OC)c2)NC(O)=N1;CCCC1=NC(=O)NC(c2cc(Br)c(O)c(OC)c2)C1C(=O)OCC
